pair,mean_spread,final_spread,pair_cv,pair_coef,pairs_in_race,num_trades,profitable_trades,losing_trades,pc_trades_prof,pair_profit,pair_profits_list
h12111719_h5921132,-4.583448275862067,-12.780000000000001,-3.895979092960378,-0.6849162118293378,2,2,0,2,0.0,-0.29629742470037357,"[-0.12, -0.17]"
h10200250_h9500678,-4.89448275862069,-4.08,-4.264054875953985,-0.5323975084115691,2,1,0,1,0.0,-0.0631016042780761,[-0.06]
h22664023_h6368074,-18.834482758620695,-21.81,-3.6799358204567096,-0.47999172549828656,3,1,0,1,0.0,-0.14875580721038872,[-0.15]
h22664023_h8625234,-1.194827586206896,-1.0200000000000005,-3.6705321601952345,-0.5628858155178964,3,1,0,1,0.0,-0.03453245840168773,[-0.03]
h6368074_h8625234,17.639655172413782,20.79,-4.49711311183021,-0.46293964260209464,3,2,0,2,0.0,-0.16589963359788573,"[-0.1, -0.07]"
h10392176_h20568623,149.0896551724138,149.87,-3.829540226319672,-0.4246161201993366,3,1,1,0,100.0,0.38932556664346407,[0.39]
h20568623_h260024,23.148965517241383,31.320000000000004,-3.820059809900579,-0.2486579021678605,3,1,0,1,0.0,-0.5837344391881603,[-0.58]
h20568623_h7171287,10.066551724137929,17.860000000000003,-3.876498781970815,-0.47211264115952317,3,1,0,1,0.0,-0.21879986795527628,[-0.22]
h12021521_h8638341,-3.564137931034483,-1.2899999999999991,-3.740245598205999,-0.49410493121503674,4,1,1,0,100.0,0.028109771736342104,[0.03]
h26817717_h27135751,107.51724137931033,137.75,-4.256940148978039,-0.5135454654627328,5,1,0,1,0.0,-0.23444444444445978,[-0.23]
h26615538_h27914032,95.15448275862067,142.12,-3.9993495789173448,-0.34082400415520153,2,1,0,1,0.0,-0.10924050632911264,[-0.11]
h26615538_h35137,98.6355172413793,146.72,-3.65807068942086,-0.3935548583883439,2,1,0,1,0.0,-0.5128176795580099,[-0.51]
h15786072_h18749478,11.064137931034484,12.16,-4.191573466528628,-0.8415133884103535,1,1,0,1,0.0,-0.13124199743917941,[-0.13]
h18910483_h5213540,4.494137931034484,40.08,-4.355327889680256,-0.714678063783835,1,1,0,1,0.0,-0.28401532193564094,[-0.28]
h24599178_h24830533,8.12586206896552,1.9699999999999989,-3.736782910185439,-0.2097779465508399,2,1,1,0,100.0,0.06429777852174823,[0.06]
h13202256_h326706,33.30827586206897,205.85,-4.941959848423438,-0.5824772977057795,5,1,0,1,0.0,-0.371850910631089,[-0.37]
h13202256_h6468788,59.78068965517242,243.7,-3.750301874268865,-0.46937510771064067,5,1,0,1,0.0,-0.20753698868580983,[-0.21]
h13579_h18663096,-4.223793103448276,-7.1899999999999995,-3.8923988987492533,-0.20969325553208443,5,1,1,0,100.0,0.05177993527508029,[0.05]
h21641223_h4090911,2.2465517241379307,3.740000000000001,-3.6970223483021476,-0.6924934354090009,1,1,0,1,0.0,-0.3249654671028708,[-0.32]
h11194858_h18105905,-13.828620689655171,-5.600000000000001,-3.8145587471803926,-0.411400357892497,4,1,0,1,0.0,-0.31637836353652204,[-0.32]
h12274401_h18823848,7.505172413793103,3.960000000000001,-3.968092821112039,-0.41767150259869307,4,1,0,1,0.0,-0.06511525859646383,[-0.07]
h18105905_h909828,17.43103448275862,1.8000000000000007,-3.884532187035535,-0.5272790123398505,4,1,0,1,0.0,-0.21125934806201485,[-0.21]
h21092030_h21636537,-28.18103448275862,-27.9,-5.825528074427021,-0.4471223363932123,4,1,0,1,0.0,-0.4243136544730177,[-0.42]
h21043493_h23109946,1.5362068965517246,1.5399999999999991,-4.344863950443,-0.48125639898243955,1,1,1,0,100.0,0.09708561242928226,[0.1]
h11194759_h18824931,18.113448275862073,23.0,-3.6792885243298508,-0.4846201990081325,1,2,0,2,0.0,-0.3773787036602769,"[-0.09, -0.29]"
h15038325_h7343946,7.819310344827584,1.3499999999999996,-5.319192159212417,-0.49827705569084857,4,1,1,0,100.0,0.012651565645157348,[0.01]
h11980152_h15851500,0.1362068965517241,6.719999999999999,-3.7606510926465457,-0.18822264222865615,1,2,1,1,50.0,-0.0143808692829559,"[-0.07, 0.06]"
h15940089_h8225015,-35.522068965517235,-42.49,-4.374179673807148,-0.41206346616036316,2,1,1,0,100.0,0.04670985668541583,[0.05]
h19159751_h2970737,145.75413793103445,144.96,-4.186446582212331,-0.2837893109710995,2,1,0,1,0.0,-0.050410569105698855,[-0.05]
h8225015_h8947559,-146.6103448275862,-83.03,-3.7138669902537043,-0.7736228419754855,2,1,1,0,100.0,0.24360980775146857,[0.24]
h26741914_h27082246,16.95103448275862,26.48,-3.6544124532432414,-0.6408989733202255,3,1,0,1,0.0,-0.019523809523811053,[-0.02]
h27082248_h27135754,-657.2441379310344,-982.65,-3.757488568756025,-0.803694180874903,3,1,0,1,0.0,-0.4836463317596795,[-0.48]
h11901244_h12683974,-20.143793103448278,-5.590000000000003,-3.821657755161828,-0.5531086715033133,1,1,1,0,100.0,0.036199095022624306,[0.04]
