distance_furlongs,race_type,course,race_length
13,Flat,Ballinrobe,180.7725
13,Flat,Bath,173.75654
13,Flat,Bellewstown,171.487
13,Flat,Chelmsford_City,172.35808
13,Flat,Chester,178.00213
13,Flat,Down_Royal,171.4402
13,Flat,Downpatrick,182.74857
13,Flat,Fairyhouse,182.54333
13,Flat,Great_Leighs,170.20267
13,Flat,Hamilton,173.7511
13,Flat,Leopardstown,170.42741
13,Flat,Lingfield,166.88229
13,Flat,Musselburgh,172.23387
13,Flat,Navan,177.32586
13,Flat,Newbury,173.63188
13,Flat,Newmarket,166.09261
13,Flat,Sligo,174.58
13,Flat,Tipperary,169.61
13,Flat,Warwick,166.39161
13,Flat,Wetherby,171.62
13,Flat,Wexford,164.58987
13,NHF,Doncaster,185.8
13,NHF,Exeter,194.20571
13,NHF,Haydock,204.75
13,NHF,Hereford,190.61667
13,NHF,Kelso,196.8
13,NHF,Lingfield,172.64333
13,NHF,Market_Rasen,195.76667
13,NHF,Newbury,188.944
13,NHF,Wetherby,202.68111
14,Flat,Ascot,185.745
14,Flat,Ayr,196.25333
14,Flat,Ballinrobe,203.75738
14,Flat,Bath,185.37833
14,Flat,Bellewstown,190.6283
14,Flat,Carlisle,191.72848
14,Flat,Catterick,186.40797
14,Flat,Chelmsford_City,180.68718
14,Flat,Chester,186.18778
14,Flat,Cork,187.16
14,Flat,Curragh,186.76508
14,Flat,Doncaster,183.12
14,Flat,Down_Royal,183.3275
14,Flat,Fairyhouse,186.32333
14,Flat,Ffos_Las,189.34042
14,Flat,Galway,196.45333
14,Flat,Goodwood,184.63789
14,Flat,Gowran_Park,192.7775
14,Flat,Great_Leighs,183.9081
14,Flat,Haydock,185.43144
14,Flat,Kempton,194.36083
14,Flat,Killarney,190.02766
14,Flat,Leopardstown,185.05491
14,Flat,Lingfield,187.78303
14,Flat,Listowel,207.81275
14,Flat,Musselburgh,184.65726
14,Flat,Naas,203.16667
14,Flat,Navan,188.94588
14,Flat,Newcastle,193.30286
14,Flat,Newmarket,178.55245
14,Flat,Nottingham,187.68875
14,Flat,Punchestown,216.7
14,Flat,Redcar,186.7163
14,Flat,Ripon,183.7825
14,Flat,Royal_Ascot,183.40667
14,Flat,Salisbury,188.79109
14,Flat,Sandown,186.10429
14,Flat,Sligo,206.475
14,Flat,Southwell,188.90397
14,Flat,TRP_Extras,200.62
14,Flat,Thurles,189.83333
